iter	Logloss
0	0.687136767
1	0.6807710073
2	0.674271941
3	0.6689198218
4	0.6628751912
5	0.6570232051
6	0.652145209
7	0.6470561206
8	0.6426843081
9	0.6372097624
10	0.6316871203
11	0.6266972979
12	0.6216501507
13	0.6165378949
14	0.611695318
15	0.6074411537
16	0.6028732194
17	0.5986090394
18	0.5945644629
19	0.5906535483
20	0.5866784118
21	0.5826851332
22	0.5790200424
23	0.575117882
24	0.5712201202
25	0.5681509031
26	0.5644674982
27	0.5609545525
28	0.5576700889
29	0.5556765866
30	0.5528235021
31	0.5494957512
32	0.5461833845
33	0.5444292988
34	0.5412632479
35	0.5383551765
36	0.5354348554
37	0.5328067813
38	0.5297869027
39	0.5283875215
40	0.5254680943
41	0.522861519
42	0.5202301147
43	0.5177767841
44	0.5165480092
45	0.5143349689
46	0.5119831185
47	0.5100321766
48	0.5089879516
49	0.5069942828
50	0.504984136
51	0.5030109018
52	0.5008830022
53	0.4996074172
54	0.4973276899
55	0.4953154399
56	0.4933086721
57	0.4924533102
58	0.4903572196
59	0.4891913625
60	0.4880944226
61	0.4860838585
62	0.4849004406
63	0.4831720313
64	0.4816026881
65	0.4799529585
66	0.478839755
67	0.4775924968
68	0.4767549517
69	0.4751707269
70	0.4735482718
71	0.4727199968
72	0.4713607667
73	0.4703354811
74	0.4689885957
75	0.467568355
76	0.4661188074
77	0.4647466771
78	0.463960947
79	0.4625065207
80	0.4611448861
81	0.4602827492
82	0.4594668187
83	0.4584595613
84	0.4572999125
85	0.4561068077
86	0.4547712277
87	0.4536787906
88	0.4528698153
89	0.4517368628
90	0.4506490355
91	0.4496222935
92	0.4486356598
93	0.44769885
94	0.4471427035
95	0.446051878
96	0.4453957032
97	0.4444058369
98	0.4432121297
99	0.4426766979
100	0.4419720389
101	0.4413705934
102	0.4408910644
103	0.4399208591
104	0.4393592254
105	0.4383595203
106	0.4377589576
107	0.4368009372
108	0.4360368286
109	0.4351087095
110	0.4342695641
111	0.433954689
112	0.433153527
113	0.4326912612
114	0.431808847
