iter	Passed	Remaining
0	74	44332
1	92	27631
2	111	22215
3	129	19311
4	147	17610
5	161	16034
6	174	14808
7	187	13864
8	201	13257
9	219	12944
10	238	12763
11	249	12249
12	264	11934
13	278	11659
14	292	11409
15	307	11208
16	317	10881
17	330	10676
18	345	10549
19	360	10456
20	375	10340
21	388	10197
22	401	10084
23	414	9947
24	429	9879
25	443	9785
26	457	9714
27	472	9656
28	488	9614
29	502	9556
30	514	9452
31	529	9393
32	542	9321
33	556	9262
34	573	9258
35	591	9259
36	606	9230
37	622	9212
38	639	9197
39	655	9179
40	670	9140
41	685	9112
42	698	9050
43	711	8989
44	721	8895
45	734	8847
46	748	8801
47	759	8736
48	773	8702
49	787	8665
50	802	8640
51	815	8599
52	826	8533
53	840	8497
54	854	8468
55	869	8441
56	882	8403
57	893	8347
58	906	8313
59	921	8289
60	935	8264
61	950	8246
62	963	8208
63	979	8203
64	994	8185
65	1011	8184
66	1027	8175
67	1045	8176
68	1061	8168
69	1079	8175
70	1096	8170
71	1115	8183
72	1133	8182
73	1149	8167
74	1160	8126
75	1173	8092
76	1186	8060
77	1200	8035
78	1218	8035
79	1234	8026
80	1249	8007
81	1265	7992
82	1281	7980
83	1297	7968
84	1313	7959
85	1329	7943
86	1345	7932
87	1359	7910
88	1374	7894
89	1389	7876
90	1406	7867
91	1421	7851
92	1437	7835
93	1452	7818
94	1469	7813
95	1486	7802
96	1503	7793
97	1518	7780
98	1537	7779
99	1553	7768
100	1570	7758
101	1586	7747
102	1604	7741
103	1620	7729
104	1638	7726
105	1655	7717
106	1673	7710
107	1690	7701
108	1705	7684
109	1721	7670
110	1734	7639
111	1748	7619
112	1763	7602
113	1779	7584
114	1793	7562
115	1806	7539
116	1819	7512
117	1832	7484
118	1846	7463
119	1861	7444
120	1875	7424
121	1890	7405
122	1903	7379
123	1918	7364
124	1932	7343
125	1948	7329
126	1963	7312
127	1979	7301
128	1996	7288
129	2013	7279
130	2030	7268
131	2046	7257
132	2062	7242
133	2080	7234
134	2096	7222
135	2112	7208
136	2129	7196
137	2146	7185
138	2162	7171
139	2178	7157
140	2195	7145
141	2212	7137
142	2228	7120
143	2245	7110
144	2261	7095
145	2278	7085
146	2293	7067
147	2310	7056
148	2327	7045
149	2345	7035
150	2361	7022
151	2379	7012
152	2393	6993
153	2411	6985
154	2428	6972
155	2443	6955
156	2458	6936
157	2475	6925
158	2492	6911
159	2507	6896
160	2525	6885
161	2542	6872
162	2558	6859
163	2574	6845
164	2591	6832
165	2608	6820
166	2624	6805
167	2642	6793
168	2657	6777
169	2675	6766
170	2690	6749
171	2707	6738
172	2723	6722
173	2740	6708
174	2755	6692
175	2772	6678
176	2789	6665
177	2805	6651
178	2821	6636
179	2836	6618
180	2854	6608
181	2872	6596
182	2889	6584
183	2905	6570
184	2921	6552
185	2937	6538
186	2952	6521
187	2969	6507
188	2986	6493
189	3003	6481
190	3020	6467
191	3037	6454
192	3053	6439
193	3072	6429
194	3086	6409
195	3102	6395
196	3117	6376
197	3134	6364
198	3149	6346
199	3166	6332
200	3182	6317
201	3200	6305
202	3216	6290
203	3233	6276
204	3248	6258
205	3264	6243
206	3279	6227
207	3295	6210
208	3308	6189
209	3319	6164
210	3329	6138
211	3340	6114
212	3352	6090
213	3360	6061
214	3371	6037
215	3378	6005
216	3391	5985
217	3401	5960
218	3411	5935
219	3422	5911
220	3431	5885
221	3443	5863
222	3455	5841
223	3461	5810
224	3472	5788
225	3485	5767
226	3492	5738
227	3504	5718
228	3514	5694
229	3525	5671
230	3536	5648
231	3544	5622
232	3555	5599
233	3561	5570
234	3573	5550
235	3585	5530
236	3595	5506
237	3606	5485
238	3619	5466
239	3628	5442
240	3638	5420
241	3651	5401
242	3660	5378
243	3672	5357
244	3684	5339
245	3690	5310
246	3702	5290
247	3711	5268
248	3721	5245
249	3730	5223
250	3739	5199
251	3749	5178
252	3755	5150
253	3767	5132
254	3777	5110
255	3785	5087
256	3794	5064
257	3804	5042
258	3816	5024
259	3822	4998
260	3833	4979
261	3843	4958
262	3852	4936
263	3862	4915
264	3873	4896
265	3884	4877
266	3893	4856
267	3904	4836
268	3915	4817
269	3922	4793
270	3935	4778
271	3947	4760
272	3953	4735
273	3964	4717
